temperatura,tiempo,fecha,hora,minutos
42.35391616821289,2024-03-13 06:06:38+03:00,2024-03-13,6,0
42.233245849609375,2024-03-13 06:36:38+03:00,2024-03-13,6,30
42.43916320800781,2024-03-13 07:06:38+03:00,2024-03-13,7,0
42.883811950683594,2024-03-13 07:36:38+03:00,2024-03-13,7,30
42.5,2024-03-13 08:06:38+03:00,2024-03-13,8,0
42.168670654296875,2024-03-13 08:36:38+03:00,2024-03-13,8,30
43.1752815246582,2024-03-13 09:06:38+03:00,2024-03-13,9,0
45.42129135131836,2024-03-13 09:36:38+03:00,2024-03-13,9,30
47.72413635253906,2024-03-13 10:06:38+03:00,2024-03-13,10,0
49.15003204345703,2024-03-13 10:36:38+03:00,2024-03-13,10,30
50.76939010620117,2024-03-13 11:06:38+03:00,2024-03-13,11,0
51.90595245361328,2024-03-13 11:36:38+03:00,2024-03-13,11,30
52.38076400756836,2024-03-13 12:06:38+03:00,2024-03-13,12,0
52.83247375488281,2024-03-13 12:36:38+03:00,2024-03-13,12,30
53.8056755065918,2024-03-13 13:06:38+03:00,2024-03-13,13,0
55.13916778564453,2024-03-13 13:36:38+03:00,2024-03-13,13,30
55.663818359375,2024-03-13 14:06:38+03:00,2024-03-13,14,0
55.78340530395508,2024-03-13 14:36:38+03:00,2024-03-13,14,30
55.422401428222656,2024-03-13 15:06:38+03:00,2024-03-13,15,0
56.627994537353516,2024-03-13 15:36:38+03:00,2024-03-13,15,30
56.806556701660156,2024-03-13 16:06:38+03:00,2024-03-13,16,0
57.880767822265625,2024-03-13 16:36:38+03:00,2024-03-13,16,30
58.19108963012695,2024-03-13 17:06:38+03:00,2024-03-13,17,0
58.11538314819336,2024-03-13 17:36:38+03:00,2024-03-13,17,30
54.28620910644531,2024-03-13 18:06:38+03:00,2024-03-13,18,0
53.108219146728516,2024-03-13 18:36:38+03:00,2024-03-13,18,30
52.49806594848633,2024-03-13 19:06:38+03:00,2024-03-13,19,0
52.60826110839844,2024-03-13 19:36:38+03:00,2024-03-13,19,30
52.916866302490234,2024-03-13 20:06:38+03:00,2024-03-13,20,0
55.18732833862305,2024-03-13 20:36:38+03:00,2024-03-13,20,30
55.34296798706055,2024-03-13 21:06:38+03:00,2024-03-13,21,0
55.741703033447266,2024-03-13 21:36:38+03:00,2024-03-13,21,30
55.767486572265625,2024-03-13 22:06:38+03:00,2024-03-13,22,0
52.265079498291016,2024-03-13 22:36:38+03:00,2024-03-13,22,30
